127.0.0.1 - - [28/Sep/2022:10:20:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:20:39 +0900] "GET /jeongdong_reg/welcome.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:20:39 +0900] "GET /jeongdong_reg/resources/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:20:40 +0900] "GET /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:20:44 +0900] "POST /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:21:36 +0900] "POST /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:21:43 +0900] "GET /jeongdong_reg/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:21:46 +0900] "GET /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:21:49 +0900] "POST /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:21:53 +0900] "GET /jeongdong_reg/more.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:21:53 +0900] "GET /jeongdong_reg/resources/more.css HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:21:53 +0900] "GET /jeongdong_reg/vim.jpeg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:24:31 +0900] "GET /jeongdong_reg/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:24:33 +0900] "GET /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:24:36 +0900] "POST /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:24:39 +0900] "GET /jeongdong_reg/more.html HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:24:39 +0900] "GET /jeongdong_reg/resources/more.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:24:39 +0900] "GET /jeongdong_reg/vim.jpeg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:24:41 +0900] "GET /jeongdong_reg/more.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:24:41 +0900] "GET /jeongdong_reg/vim.jpeg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:25:09 +0900] "GET /jeongdong_reg/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:25:11 +0900] "GET /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:25:13 +0900] "POST /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:27:35 +0900] "GET /jeongdong_reg/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:27:36 +0900] "GET /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:27:38 +0900] "POST /jeongdong_reg/StudentSevlet?cmd=join HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:27:41 +0900] "GET /jeongdong_reg/more.html HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:27:41 +0900] "GET /jeongdong_reg/resources/more.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:27:41 +0900] "GET /jeongdong_reg/resources/ios.png HTTP/1.1" 200 35289
